text,label
സിനിമ എന്ന കലയെ അപമാനിക്കുന്നതാണ് ഈ ചിത്രം. വളരെ മോശം സംവിധാനം ആണ് ഡയറക്ടർ കാഴ്ചവച്ചത്. സംവിധായകന്റെ കഴിവുകേടിനെ മറികടന്നത് അഭിനേതാക്കളുടെ ക്രൂരമായ പ്രകടനങ്ങൾ മാത്രമാണ്.,0
"എന്റെ ജീവിതത്തിലെ ഒരു മണിക്കൂർ ഞാൻ പാഴാക്കിയതിൽ വെച്ച് ഏറ്റവും വിരസമായ വിലയില്ലാത്ത വൃത്തികേടാണിത്. എനിക്ക് ദൈവത്തിന് നന്ദി പറയാൻ കഴിയുന്നത് ഒരു മണിക്കൂർ മാത്രമാണ്. ഈ സിനിമയുടെ പകുതിയിലധികവും യഥാർത്ഥ ക്രിമിനലി ഇൻസെൻ എന്ന ചിത്രത്തിലെ ഫൂട്ടേജുകളാണ്. ഏറ്റവും കുറഞ്ഞത്, ആ അപൂർവ ചൂഷണ ക്ലാസിക്കിൽ നിന്നുള്ള ഹൈലൈറ്റുകൾ കാണാൻ എനിക്ക് കഴിഞ്ഞു, കാരണം ചില യാഥാർത്ഥ്യങ്ങളെ ധിക്കരിക്കുന്ന കാരണങ്ങളാൽ എന്റെ വീഡിയോ സ്റ്റോറിൽ ക്രിമിനലി ഇൻസെൻ മാത്രമേ ഉള്ളൂ അതിൽ ഉണ്ടായിരുന്നത് പോലെ, ക്രേസി ഫാറ്റ് എഥൽ . എന്നാൽ ഈ സിനിമയുടെ ബാക്കി ഭാഗങ്ങൾ നിങ്ങൾ കണ്ടേക്കാവുന്ന ഏറ്റവും മോശമായ ഹോംവീഡിയോ അഭിനയവും വീട്ടുമുറ്റത്തെ സിനിമാ നിർമ്മാണവുമാണ്. ഭയങ്കര മോശം സിനിമാട്ടോഗ്രഫി ആയിരുന്നു ഇതിൽ. കാണാൻ ഒട്ടും സുഖം തോന്നിയില്ല.",0
"പ്രണയം, ത്യാഗം, ദുരന്തം എന്നിവയുടെ പ്രമേയങ്ങൾ പ്രേക്ഷകരിൽ പ്രതിധ്വനിക്കുന്ന തരത്തിൽ പര്യവേക്ഷണം ചെയ്യുന്ന കഥ ശക്തവും ഹൃദയസ്പർശിയുമാണ്.",1
ഓവർ ഓൾ പടം എനിക്ക് ഇഷ്ടായി മേക്കിങ് ഒക്കെ അടിപൊളി ആണ് ക്ലൈമാക്സ് പ്രേടിക്ടബിൾ ആയിരുന്നു സൗബിൻ ഒരു മിസ്കാസ്റ് ആയി തോന്നി . സൗബിന്റെ ഡയലോഗ് ഡെലിവറി ഒക്കെ മോശമായിരുന്നു ഒരു ഒൺ ടൈം വാടച്ചബിൾ,1
എന്തിനോ വേണ്ടി തിളച്ച സാമ്പാർ. ആവശ്യമില്ലാത്ത ഒരുപാട് സീനുകൾ. മൊത്തത്തിൽ ഒരു ആശയക്കുഴപ്പം ഉണ്ടാക്കുന്ന കഥ. നയൻതാരയെ കണ്ടിരിക്കാം എന്നതല്ലാതെ വേറെ മെച്ചം ഒന്നുമില്ല,0
"ശക്തമായ കഥ. പലപ്പോഴും ഷോർട്ട് ഫിലിമുകൾ സമയത്തിനനുസരിച്ച് വളരെ കുറച്ച് അല്ലെങ്കിൽ വളരെയധികം ചെയ്യാൻ ശ്രമിക്കാറുണ്ട്. അല്ലെങ്കിൽ അവർ പ്രവചിക്കാവുന്ന ഒരു കഥ പറയാൻ ശ്രമിക്കുന്നു. രസകരമായ ഒരു കഥ വളരെ ദൈർഘ്യമേറിയതാക്കാതെയോ നിങ്ങളെ തൃപ്തിപ്പെടുത്താതെയോ പറയുന്നതിനുള്ള ഒരു നല്ല ബാലൻസാണിത്. അടുത്തതായി എന്ത് സംഭവിക്കുമെന്ന് നിങ്ങൾ ആശ്ചര്യപ്പെടുന്നു, അതേ സമയം, എന്തെങ്കിലും സംഭവിക്കുന്നത് നിങ്ങൾ കണ്ടതായി തോന്നുന്നു. നല്ല സ്കോറും. അമിതാധികാരമില്ലാതെ അഭിനന്ദനങ്ങൾ. ഒരു ഉത്സവത്തിൽ നിങ്ങൾക്ക് ഇത് കണ്ടെത്താൻ കഴിയുമെങ്കിൽ, അത് കാണാൻ ശ്രമിക്കൂ.",1
കമ്മത്ത് ആൻഡ് കമ്മത്ത് എന്ന സിനിമ മമ്മൂട്ടി ദിലീപ് എന്നീ മികച്ച നടന്മാരുടെ ഒരു കോമഡി സിനിമയായിരുന്നു സിനിമയുടെ സംവിധാനവും മികച്ചതായിരുന്നു. തീർത്തും വ്യത്യസ്തമായ ഒരു കഥ ആയിരുന്നു കമ്മത്ത് ആൻഡ് കമ്മത്ത് എന്ന സിനിമയുടേത്. സിനിമയിലെ കഥാപാത്രങ്ങളുടെ തിരഞ്ഞെടുപ്പും മികച്ചതായിരുന്നു,1
"അക്ഷയ് കുമാർ, സുനിൽ ഷെട്ടി, പരേഷ് റാവൽ എന്നിവർ അഭിനയിച്ച ഒരു കോമഡി ചിത്രമാണ് ഹേരാ ഫേരി. അബദ്ധത്തിൽ ഒരു തട്ടിക്കൊണ്ടുപോകലിൽ ഏർപ്പെടുന്ന മൂന്ന് പുരുഷന്മാരെ ചുറ്റിപ്പറ്റിയാണ് സിനിമയുടെ ഇതിവൃത്തം. ചിത്രത്തിന്റെ കാസ്റ്റിംഗ് മികച്ചതാണ്, പ്രധാന അഭിനേതാക്കൾ തമ്മിലുള്ള കെമിസ്ട്രി അതിശയകരമാണ്. ഛായാഗ്രഹണം ചിത്രത്തിന്റെ കുഴപ്പവും നർമ്മവും ഒപ്പിയെടുക്കുന്നു, പ്രിയദർശന്റെ സംവിധാനവും മികച്ചതാണ്. തിരക്കഥ നന്നായി എഴുതിയിരിക്കുന്നു, അത് ഇന്ത്യൻ സിനിമയിലെ ഏറ്റവും മികച്ച കോമഡി ചിത്രങ്ങളിലൊന്നായി മാറുന്നു.",1
"ഛായാഗ്രഹണം ശ്രദ്ധേയമാണെങ്കിലും, എഡിറ്റിംഗ് മൊത്തത്തിലുള്ള സൗന്ദര്യാത്മകതയിൽ നിന്ന് വിട്ടുമാറാത്തതും അസ്വസ്ഥവുമാണ്. കാസ്റ്റിംഗ് നന്നായി ചെയ്തിട്ടുണ്ട്, എന്നാൽ ചില സഹ കഥാപാത്രങ്ങൾ അവികസിതവും മറക്കാനാവാത്തതുമാണെന്ന് തോന്നുന്നു. കഥ കൗതുകകരമാണെങ്കിലും, ചില സമയങ്ങളിൽ തിരക്കഥ വളച്ചൊടിക്കാൻ കഴിയും, ഇത് പ്ലോട്ട് പൂർണ്ണമായി പിന്തുടരുന്നത് ബുദ്ധിമുട്ടാക്കുന്നു. മൊത്തത്തിൽ, ദി കിംഗ് ഒരു മാന്യമായ സിനിമയാണ്, പക്ഷേ അതിന്റെ പോരായ്മകൾ ഒരു യഥാർത്ഥ ക്ലാസിക് ആകുന്നതിൽ നിന്ന് തടയുന്നു.",0
കർശനമായി ശരാശരി. മമ്മൂക്കയുടെ സ്ക്രീൻ പ്രെസൻസ് ദുർബലമായ എഴുത്തിനെ സഹായിക്കാനായില്ല. ട്വിസ്റ്റുകൾ വളരെ പ്രവചിക്കാവുന്നവയാണ്. മഞ്ജു വാര്യരുടെ കഥാപാത്രം ഒരു നീണ്ട കാമിയോ ആണ്. വേറെ ഏതെങ്കിലും നടിക്ക് കൊടുക്കാമായിരുന്നു. സത്യത്തിൽ ഒരു അഭിനേതാക്കൾക്കും അവിസ്മരണീയമായ ഒരു രംഗം അവതരിപ്പിക്കാൻ അവസരമുണ്ടായിരുന്നില്ല. ജെയിംസ് വാൻ സ്റ്റൈൽ സിനിമയാക്കാൻ സംവിധായകൻ ശ്രമിച്ചെങ്കിലും ഒരുപാട് ക്ലിക്കുകളുള്ള ഒരു സാധാരണ തിരക്കഥയിൽ അവസാനിച്ചു.,0
